dt_date,Parking
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/26,9
2022/8/26,29
2022/8/26,27
2022/8/26,42
2022/8/26,31
2022/8/26,31
2022/8/26,34
2022/8/26,46
2022/8/26,70
2022/8/26,80
2022/8/26,97
2022/8/26,32
2022/8/26,16
2022/8/26,16
2022/8/26,0
2022/8/26,0
2022/8/26,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/27,26
2022/8/27,48
2022/8/27,94
2022/8/27,63
2022/8/27,80
2022/8/27,69
2022/8/27,85
2022/8/27,125
2022/8/27,128
2022/8/27,108
2022/8/27,96
2022/8/27,58
2022/8/27,36
2022/8/27,21
2022/8/27,0
2022/8/27,0
2022/8/27,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/28,27
2022/8/28,54
2022/8/28,89
2022/8/28,96
2022/8/28,67
2022/8/28,77
2022/8/28,71
2022/8/28,44
2022/8/28,21
2022/8/28,35
2022/8/28,35
2022/8/28,12
2022/8/28,12
2022/8/28,11
2022/8/28,0
2022/8/28,0
2022/8/28,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/29,10
2022/8/29,31
2022/8/29,45
2022/8/29,58
2022/8/29,48
2022/8/29,26
2022/8/29,45
2022/8/29,39
2022/8/29,43
2022/8/29,34
2022/8/29,19
2022/8/29,12
2022/8/29,6
2022/8/29,4
2022/8/29,0
2022/8/29,0
2022/8/29,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/30,6
2022/8/30,9
2022/8/30,11
2022/8/30,15
2022/8/30,16
2022/8/30,21
2022/8/30,21
2022/8/30,25
2022/8/30,38
2022/8/30,27
2022/8/30,21
2022/8/30,11
2022/8/30,23
2022/8/30,12
2022/8/30,0
2022/8/30,0
2022/8/30,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,0
2022/8/31,5
2022/8/31,7
2022/8/31,17
2022/8/31,20
2022/8/31,15
2022/8/31,12
2022/8/31,20
2022/8/31,10
2022/8/31,27
2022/8/31,35
2022/8/31,28
2022/8/31,14
2022/8/31,9
2022/8/31,8
2022/8/31,0
2022/8/31,0
2022/8/31,0
